,Prec,ETo,T,Wilzsch,BachOst
2011-10-01,0.0,3.567234639413933,16.379166666666666,0.9924581060591144,0.6985050932663052
2011-10-02,0.0,2.9422268501539555,14.741666666666667,0.9924581060591144,0.6985050932663052
2011-10-03,0.0,2.1725743297873894,14.275,0.9924581060591144,0.6985050932663052
2011-10-04,0.0,2.392763503970038,14.924999999999999,0.9924581060591144,0.6985050932663052
2011-10-05,0.0,1.1581489435893424,11.608333333333334,0.9924581060591144,0.6985050932663052
2011-10-06,4.7,1.7752099413810376,10.541666666666666,1.0160880609652838,0.734224103717423
2011-10-07,7.6,1.007184272581832,3.983333333333333,1.132268672587283,0.8324513824579971
2011-10-08,17.7,0.8075732498755042,2.1166666666666667,2.632770809129039,2.0543391983066543
2011-10-09,0.8999999999999999,1.0337740122872037,2.1333333333333333,2.418132052064667,1.3445230850641618
2011-10-10,16.8,0.7013053819343267,7.891666666666667,5.044995372467164,3.7525466331525332
2011-10-11,4.0,0.7863547988578579,9.970833333333333,3.5897839828288993,2.5555629051461835
2011-10-12,25.8,0.7001859463039668,5.104166666666667,8.892739696355079,11.067700754067998
2011-10-13,0.30000000000000004,0.9373247077100975,3.654166666666667,5.389598881515467,4.866152930281784
2011-10-14,0.0,1.0369847108399919,1.3208333333333333,2.4634227989681587,1.742095515279799
2011-10-15,0.0,1.7587722434010407,2.5041666666666664,1.8332906681369747,1.220300304273052
2011-10-16,0.0,1.9387999465234167,3.8625000000000003,1.5595770238071798,1.1271332186797196
2011-10-17,0.0,1.8173364325803678,5.0874999999999995,1.415828131461316,1.1271332186797196
2011-10-18,3.3000000000000003,1.58019340832496,7.116666666666667,1.2760175649331469,1.1271332186797196
2011-10-19,2.2,0.563718937329684,1.9458333333333335,1.55170037217179,1.1271332186797196
2011-10-20,3.2,0.7366278989917809,0.9083333333333333,1.5280704172656205,1.1271332186797196
2011-10-21,0.0,0.7191186990629328,0.28750000000000003,1.4276431089144006,1.1271332186797196
2011-10-22,0.0,1.1270164582951245,0.6333333333333333,1.4355197605497902,1.1271332186797196
2011-10-23,0.0,1.1867347230839749,1.9375,1.2760175649331469,1.1271332186797196
2011-10-24,0.0,0.9875029390322592,4.958333333333333,1.2760175649331469,1.1003439608413812
2011-10-25,0.0,0.9783691505698734,4.770833333333333,1.2760175649331469,1.0646249503902634
2011-10-26,0.2,0.6223430968270922,6.5874999999999995,1.2760175649331469,1.0824844556158222
2011-10-27,0.0,0.4624378631855854,5.7875000000000005,1.2760175649331469,0.9396084138113507
2011-10-28,0.0,1.0097073096029832,6.054166666666667,1.2760175649331469,0.7967323720068793
2011-10-29,0.0,1.0541172605299929,7.7,1.2563259358446723,0.7431538563302025
2011-10-30,0.0,0.8725385411015206,8.3375,1.0062422464210465,0.6985050932663052
2011-10-31,0.0,0.9321973516366379,8.595833333333333,0.9924581060591144,0.6985050932663052
2011-11-01,0.0,0.6481102624340969,4.416666666666667,0.9924581060591144,0.6985050932663052
2011-11-02,0.0,1.031857695382914,5.641666666666667,0.9924581060591144,0.6985050932663052
2011-11-03,0.0,1.2507651019059944,4.645833333333333,0.9924581060591144,0.6985050932663052
2011-11-04,0.0,0.701755043768526,3.1999999999999997,0.9924581060591144,0.6985050932663052
2011-11-05,0.0,1.399667097441599,7.716666666666666,0.9924581060591144,0.6985050932663052
2011-11-06,0.0,0.6369019701628156,6.945833333333333,0.9924581060591144,0.6985050932663052
2011-11-07,0.0,2.0786423820742166,7.670833333333333,0.9924581060591144,0.6985050932663052
2011-11-08,0.0,0.8780685361428058,4.258333333333334,0.9924581060591144,0.6985050932663052
2011-11-09,0.0,1.280011170018716,4.929166666666666,0.9924581060591144,0.6985050932663052
2011-11-10,0.0,0.44293929850968483,1.9625000000000001,0.9924581060591144,0.6985050932663052
2011-11-11,0.0,0.6139003152090619,-1.8958333333333333,0.9924581060591144,0.6985050932663052
2011-11-12,0.0,0.9164957319129842,-0.13750000000000004,0.9924581060591144,0.6985050932663052
2011-11-13,0.0,2.272603955922768,6.033333333333332,0.9924581060591144,0.6985050932663052
2011-11-14,0.0,1.4720866511382331,4.579166666666667,0.9924581060591144,0.6985050932663052
2011-11-15,0.0,1.352448819025493,2.1708333333333334,0.9924581060591144,0.6985050932663052
2011-11-16,0.0,1.626631230678122,1.55,0.9904889431502669,0.6985050932663052
2011-11-17,0.0,0.5431232564984706,-2.704166666666667,0.9904889431502669,0.6985050932663052
2011-11-18,0.0,0.6948867451542711,3.9125,0.9924581060591144,0.6985050932663052
2011-11-19,0.0,0.5918772880473911,2.9,0.9924581060591144,0.6985050932663052
2011-11-20,0.0,0.35451679378807816,0.8125,0.9924581060591144,0.6985050932663052
2011-11-21,0.0,0.7949917791020366,5.3125,0.9924581060591144,0.6985050932663052
2011-11-22,0.0,1.3098826512933108,5.129166666666666,0.9924581060591144,0.6985050932663052
2011-11-23,0.0,1.0034394082160247,3.0375,0.9924581060591144,0.6985050932663052
2011-11-24,0.0,0.849692086787808,2.6583333333333337,0.9924581060591144,0.6985050932663052
2011-11-25,0.2,1.1666705420434615,3.3541666666666665,0.9924581060591144,0.6985050932663052
2011-11-26,0.3,0.2529068427943145,0.016666666666666663,0.9924581060591144,0.6985050932663052
2011-11-27,0.0,1.135547583905083,2.0833333333333335,0.9924581060591144,0.6985050932663052
2011-11-28,0.0,0.5469718477227732,1.4541666666666666,0.9924581060591144,0.6985050932663052
2011-11-29,0.0,1.6981653611493035,1.3416666666666668,0.9924581060591144,0.6985050932663052
2011-11-30,0.4,0.3194245644434816,2.0749999999999997,0.9924581060591144,0.6985050932663052
2011-12-01,0.0,1.0205917718880408,1.3916666666666666,0.9924581060591144,0.6985050932663052
